roundness,ShapeFactor2,Compactness,Class
0.9580271262501276,0.00314728916733569,0.9133577547957626,SEKER
0.8870336365528869,0.003563623712100963,0.9538608422605129,SEKER
0.9478494730164112,0.003047733217213173,0.9087742385103313,SEKER
0.9039363743173375,0.003214562079390055,0.9283288347599437,SEKER
0.9848770693509095,0.0036649719644516834,0.970515523241471,SEKER
0.9438517832505929,0.0031527787389953013,0.9237259515228944,SEKER
0.8530798687748348,0.003242016245376514,0.9333735523038642,SEKER
0.9671092439901503,0.003158285146362523,0.9254803918415593,SEKER
0.9542398075022369,0.0031515495188116868,0.9256584976908387,SEKER
0.9702782301205947,0.0030080398121198064,0.9121254299560562,SEKER
0.9462581799326395,0.0031742202947999208,0.9290383427519497,SEKER
0.9581728356299639,0.003333983668368092,0.9452543046697849,SEKER
0.9525817569197089,0.003145388256978018,0.9271631618638654,SEKER
0.9481190040168371,0.0030710517082392676,0.9200519802981555,SEKER
0.9526231013453076,0.0032670098784518364,0.939218858231592,SEKER
0.9658995960258264,0.003227429112568851,0.9355105126120183,SEKER
0.9440792434070276,0.0031116465919126517,0.924305534129939,SEKER
0.9579485417856513,0.0031366824591191967,0.926782809382055,SEKER
0.9634250363807546,0.0032612455172040633,0.9392376658964174,SEKER
0.976510834463214,0.0030754693858982846,0.9213623861864616,SEKER
0.973459862403212,0.0029518837956689047,0.9090402791060654,SEKER
0.9707927387403043,0.0032269206969260905,0.9372133911673683,SEKER
0.8731185069831213,0.003076766544671651,0.9226547369772049,SEKER
0.9218421819917176,0.002609775195654626,0.8736858621919399,SEKER
0.9209289602324524,0.0023868887392210934,0.8482396224619057,SEKER
0.9518938631075287,0.003418781285782501,0.956197484655159,SEKER
0.9249085601436619,0.0031586108837336974,0.9314019909394656,SEKER
0.9684821560162405,0.0029906976165729755,0.9148122176312733,SEKER
0.942104629800205,0.002944773314582015,0.910201041175846,SEKER
0.9696001360667376,0.002830885872170683,0.8985151411579843,SEKER
0.9473781316557983,0.003258989445688676,0.9417486679201496,SEKER
0.9110396196180289,0.002874554587641028,0.9031684660631294,SEKER
0.9285377475301468,0.0027982792022322846,0.8951739395280848,SEKER
0.9769466831984482,0.0031528452028966687,0.9318694700637616,SEKER
0.9809683770672503,0.0032766689712814046,0.9441932316015749,SEKER
0.980466376243067,0.003315826051746886,0.9480382740643168,SEKER
0.9384532773909917,0.003349716390830268,0.9512671411221948,SEKER
0.9415389488677878,0.0033162175205669305,0.948189147230393,SEKER
0.9402478733620752,0.0025988716324710694,0.8742462647157668,SEKER
0.9674786148012576,0.0028321676925391263,0.8997163518293564,SEKER
0.9453542294066802,0.0031732055227639408,0.9344991563757626,SEKER
0.9771286582334483,0.003184597937041567,0.9356794155410169,SEKER
0.8994895693843451,0.0024260534698442946,0.8545995244793649,SEKER
0.9163205998319498,0.0028388222941241104,0.9007527397288257,SEKER
0.9593915997137143,0.002909258918790806,0.9081653292492684,SEKER
0.9424964570592285,0.003106540864422383,0.9285012856844254,SEKER
0.9343383323575635,0.002964975252706566,0.9143952170153701,SEKER
0.9477439021557724,0.002914807830169736,0.9092321798465983,SEKER
0.9145840197365749,0.002976781623782729,0.9157020209962408,SEKER
0.9770404216446091,0.002988674382918363,0.9170051834327995,SEKER
0.9454081638315681,0.0029965149595458053,0.9178395809691825,SEKER
0.9524626416520814,0.002921046678822555,0.9100874094124694,SEKER
0.9703259436875631,0.0031078903101509118,0.9291738213371451,SEKER
0.9625933676235022,0.0031470533899704547,0.9332722943126625,SEKER
0.9512535177689841,0.0029792954120347456,0.9164563288462434,SEKER
0.9414583159721267,0.002986188010143479,0.9172428656338981,SEKER
0.8917085023385342,0.0029721125583393915,0.9158607650315007,SEKER
0.9840087314607846,0.00307692983967631,0.9265413140244153,SEKER
0.9535869437249885,0.003052717038448007,0.9243755077275997,SEKER
0.9542650434534424,0.0028424712305333013,0.9027960559516964,SEKER
0.9700068736506543,0.002994124690715943,0.9188051492202184,SEKER
0.9622846511114481,0.0030019171437902117,0.9196204016365046,SEKER
0.9520886553575951,0.0030199623917194977,0.9214594083135608,SEKER
0.9272642490958107,0.0028524562955168967,0.9041301318950534,SEKER
0.9467797909622935,0.0027837562587593257,0.897055950343453,SEKER
0.9702976345800158,0.002882408175749079,0.9075438566081899,SEKER
0.9273839969932451,0.0031417466709294196,0.9341465430775536,SEKER
0.9496811325304296,0.002504990650959533,0.8662478964364662,SEKER
0.9634729275144157,0.002870063235327997,0.9067879620625585,SEKER
0.9595459232064728,0.002914689579648394,0.911496182997459,SEKER
0.9435953206896729,0.0032725369697307635,0.9474071152943043,SEKER
0.9537539372263117,0.003327167369712744,0.9527275664584394,SEKER
0.9437213211191547,0.0029605630209838547,0.916575133968688,SEKER
